1,2
1,3
2,4
3,2
3,3
4,3
5,3
6,3
7,1
7,2
7,3
8,1
8,2
8,3
9,1
9,2
9,3
10,2
10,3
11,4
12,1
12,2
12,3
13,1
13,2
13,3
13,4
14,3
15,2
15,3
16,1
16,2
16,3
17,1
17,2
17,3
18,3
19,2
19,3
20,2
20,3
21,1
21,2
21,3
22,2
22,3
23,1
23,2
23,3
24,1
24,2
24,3
25,2
25,3
26,1
26,2
26,3
27,1
27,2
27,3
28,1
28,2
28,3
29,1
29,2
29,3
30,1
30,2
30,3
31,1
31,2
31,3
32,1
32,2
32,3
33,2
33,3
34,3
35,1
35,2
35,3
36,1
36,2
36,3
37,1
37,2
37,3
38,1
38,2
38,3
39,3
40,1
40,2
40,3
41,1
41,2
41,3
41,4
42,1
42,2
42,3
43,2
43,3
44,1
44,2
44,3
45,1
45,2
45,3
46,2
46,3
47,2
47,3
48,2
48,3
49,2
49,3
50,2
50,3
51,2
51,3
52,1
52,2
52,3
52,4
53,1
53,2
53,3
54,2
54,3
55,3
56,1
56,2
56,3
57,2
57,3
58,2
58,3
59,2
59,3
60,3
61,1
61,2
61,3
62,2
62,3
63,2
63,3
64,2
64,3
65,1
65,2
65,3
66,3
67,3
68,2
68,3
69,2
69,3
70,2
70,3
71,3
72,3
73,2
73,3
74,3
75,1
75,2
75,3
76,2
76,3
77,1
77,2
77,3
78,2
78,3
79,3
80,2
80,3
81,1
81,2
81,3
82,1
82,2
82,3
83,2
83,3
84,3
85,1
85,2
85,3
86,3
87,1
87,2
87,3
88,3
89,1
89,2
89,3
90,3
91,3
92,3
93,2
93,3
94,3
95,3
96,1
96,2
96,3
97,3
98,1
98,2
98,3
99,1
99,2
99,3
100,3
101,1
101,2
101,3
102,3
103,2
103,3
104,3
105,3
106,3
107,3
108,3
109,3
110,3
111,3
112,3
113,3
114,3
115,3
116,3
117,1
117,2
117,3
118,3
119,1
119,2
119,3
120,3
121,3
122,3
123,3
124,3
125,2
125,3
126,3
127,3
128,3
129,3
130,3
131,3
132,2
132,3
133,3
134,3
135,3
136,2
136,3
137,3
138,3
139,3
140,2
140,3
141,4
142,1
142,2
142,3
143,3
144,3
145,3
146,3
147,2
147,3
148,2
148,3
149,3
150,4
151,3
152,3
153,3
154,4
155,3
156,3
157,3
158,3
159,3
160,3
161,3
162,3
163,2
163,3
164,2
164,3
165,2
165,3
166,3
167,2
167,3
168,3
169,3
170,2
170,3
171,4
172,4
173,3
174,3
175,4
176,3
177,3
178,3
179,3
180,3
181,3
182,3
183,2
183,3
184,3
185,3
186,3
187,3
188,3
189,3
190,4
191,3
192,3
193,3
194,3
195,4
196,3
197,2
197,3
198,3
199,3
200,3
201,4
202,3
203,3
204,3
205,3
206,3
207,4
208,3
209,3
210,2
210,3
211,3
212,3
213,3
214,3
215,1
215,2
215,3
216,1
216,2
216,3
217,1
217,2
217,3
218,1
218,2
218,3
219,3
220,1
220,2
220,3
221,3
222,1
222,2
222,3
223,3
224,3
225,1
225,2
225,3
226,1
226,2
226,3
227,1
227,2
227,3
228,1
228,2
228,3
229,2
229,3
230,3
231,2
231,3
232,2
232,3
233,3
234,3
235,1
235,2
235,3
236,2
236,3
237,2
237,3
238,3
239,2
239,3
240,3
241,2
241,3
242,1
242,2
242,3
243,3
244,3
245,3
246,3
247,3
248,3
249,4
250,3
251,4
252,2
252,3
253,3
254,3
255,2
255,3
256,3
257,3
258,3
259,4
260,3
261,3
262,3
263,3
264,2
